horizon_ms,model,model_label,train_samples,train_loss_initial,train_loss_final,train_loss_drop,exact_match_accuracy,f1,iou,latency_ms_mean,latency_ms_p95,peak_memory_mb,per_cell_accuracy,precision,recall,samples
50,6dof,Pose only,82213,0.5532220401884517,0.5462294165291443,0.006992623659307418,0.14055884843353092,0.32766877857079346,0.19593533528050824,0.09074654619937861,0.08039912208914757,1.0020265579223633,0.7454601649967071,0.5781356858531101,0.2286222799700012,17715
50,heatmap_6dof,Heatmap + pose,72534,0.5517556361239765,0.528621371886389,0.023134264237587465,0.12997195308516063,0.5277884086610175,0.35850037573810417,0.12063511407685745,0.12458385899662971,42.37607955932617,0.7883472381026368,0.6912481993970079,0.42685079742002885,15688
100,6dof,Pose only,81638,0.5520405738284595,0.5452457084773009,0.0067948653511585855,0.14393724063441532,0.3275346795221923,0.19583944462813654,0.09396045913099293,0.08078711107373238,1.0048656463623047,0.7472476825862657,0.583514180074411,0.22766238076344658,17591
100,heatmap_6dof,Heatmap + pose,72497,0.5512488598853929,0.5271196037544051,0.02412925613098771,0.11295363224695452,0.5133694003251611,0.34532411779862937,0.11139007919503685,0.11136005632579311,42.35615253448486,0.7864149831515616,0.6905304219454331,0.40855213134709617,15679
150,6dof,Pose only,80489,0.5499083047143416,0.5429302214308744,0.0069780832834671624,0.1495704318745315,0.3167336934741983,0.1881661221675165,0.09222271904445557,0.0784862320870161,1.0034523010253906,0.7468341536390762,0.5832555661235214,0.2173942037864219,17343
150,heatmap_6dof,Heatmap + pose,72423,0.5506756596527204,0.5270899360285342,0.023585723624186206,0.12050577942397343,0.5182193204075124,0.3497274107731183,0.1145893190972242,0.09877751581370718,42.35740661621094,0.7892686555721417,0.6967489066469958,0.41251869871331664,15659
200,6dof,Pose only,79913,0.5488286098902277,0.5419231028295308,0.006905507060696925,0.15157674661710901,0.31238469863178797,0.18510421088178458,0.08909528334252136,0.07902979850769043,0.9969978332519531,0.7471782775083725,0.5819249061921243,0.21349604759027965,17219
200,heatmap_6dof,Heatmap + pose,72386,0.547322930527897,0.5238206152830523,0.023502315244844696,0.10722729886893731,0.5199438113455421,0.35130004883005905,0.11385787019293159,0.0924640335142608,42.379560470581055,0.7870775488849128,0.6781586541449452,0.42158724137160003,15649
